walletAddress,kycStatus
0x20a4707eda21bc3b95b9a039913e419e6f09a96c,approved
0x15127f261842aa3a45021099b3279611502094d8,approved
0x373405ca6307eb26ec33b36d6233e99dc3ef4060,approved
0x0956e5e81209c40340e113aa9ed07d64151f3493,approved
0xa72cae309893f7d31c0755cc87cab813d5352fd0,approved
0x03892457ba59a560e658e6e866b59f27be5aacc6,approved
0x3b9f54e704a8517bad0b57c0ab4fa7c1286539d0,approved
0x1826f46920b36d6624526c7020d55af6b359af47,approved
0x4fc670cec702d8e61097b499f4083294c944a4ef,approved
0xa137642d8d18177706189a5c1562c835a34995dc,approved
0xedb252ff25c7a87b4fbd0d02766e2d2e6478ebb3,approved
0xe99f2ed851388cb523dee75ed09dce89f89cde37,approved
0x01d0171234ea9f4a11987c5d19c367b598c26a75,approved
0xf6dbc8cb12e7593712a479c02bf71cd8268a622e,approved
0x6c3fac18cef47aaa635a84a1599a3c4dce9336ab,nonblockpass
0x4488d53da73b8779f3373345648c970bf5990baf,aprroved
0x80b40a8fdba0493d932dcc505741f42ea9c6a787,approved
0x05088395de7f85b3c10d55c87cf4c53fbb432f5f,approved
0x04b53c5e4d4fe5cd0bdd219416459d5023ed4add,approved
